id,opis,oczekiwane,kategoria_modelu,wyjasnienie_modelu
50,Długotrwała chrypka i uczucie drapania w gardle.,DO LEKARZA,DO OBSERWACJI,"Objawy są charakterystyczne dla przeziębienia, nie stanowią zagrożenia zdrowia."
51,"Lekki ból gardła i katar trwające od wczoraj, bez gorączki.",DO OBSERWACJI,DO LEKARZA,Wizyta u lekarza może być niezbędna do ustalenia przyczyny objawów i zastosowania odpowiedniego leczenia.
52,Okresowy ból głowy ustępujący po odpoczynku.,DO OBSERWACJI,DO LEKARZA,"Stan ten wymaga dodatkowych rozważnień z lekarzem, aby wykluczyć bardziej poważne przyczyny."
53,Ból mięśni po intensywnym wysiłku fizycznym.,DO OBSERWACJI,DO OBSERWACJI,Objawy te są powszechną konsekwencją intensywnego treningu i powinny ustąpić samoczynnie.
54,"Niewielka gorączka 37.5 stopnia, złe samopoczucie.",DO OBSERWACJI,DO LEKARZA,"Pacjent ma lekkie objawy infekcyjne, lepiej skonsultować się z lekarzem."
55,"Ból brzucha po obfitym posiłku, ustępujący samoistnie.",DO OBSERWACJI,DO OBSERWACJI,Objawy zgodne z przejściowym i niepoważnym zaburzeniem jelit. W większości przypadków ustępują samoistnie.
56,Zatkany nos i kichanie w okresie pylenia.,DO OBSERWACJI,DO OBSERWACJI,"Objawy związane z sezonowym zmianą pogody, nie wymagają interwencji medycznej."
57,Lekki ból kolana po długim spacerze.,DO OBSERWACJI,DO OBSERWACJI,"Ból jest lekki i pojawił się dopiero po długim wysiłku, co sugeruje mogącego powstać stan zapalny lub przeciążenie stawu."
58,Okresowe kołatanie serca w sytuacjach stresowych.,DO OBSERWACJI,DO OBSERWACJI,"Około 40% populacji doświadcza okresowego zwiększenia częstości uderzeń serca w czasie stresu lub emocji intensywnych, ale nie powinno ono stanowić żadnego poważniejszego problemu zdrowotnego."
59,Niewielkie zawroty głowy przy odwodnieniu.,DO OBSERWACJI,DO LEKARZA,"Zawroty głowy mogą być symptomem poważniejszego problemu, zwłaszcza w sytuacji odwodnienia."
60,Przemijający ból pleców po długim siedzeniu.,DO OBSERWACJI,DO LEKARZA,"Ból pleców może być objawem wielu różnych problemów, więc najlepiej sprawdzić u lekarza, aby wykluczyć poważniejsze przyczyny."
61,Lekka biegunka trwająca jeden dzień.,DO OBSERWACJI,DO OBSERWACJI,"Objawy są łagodne i przejściowe, nie ma potrzeby wizyty u lekarza."
62,Zmęczenie po kilku dniach intensywnej pracy.,DO OBSERWACJI,DO OBSERWACJI,Powyższe objawy są przewlekłe i nie powodują stanu zagrożenia życia.
63,Ból głowy związany z brakiem snu.,DO OBSERWACJI,DO OBSERWACJI,Objawy są spowodowane przez brak snu i powinny się poprawić po odpoczynku.
64,Lekki kaszel bez innych objawów.,DO OBSERWACJI,DO OBSERWACJI,"Objawy są łagodne i nie powinny wywołać obaw o zdrowie, dlatego można poczekać z wizytą u lekarza."
65,"Niewielkie bóle brzucha u dziecka, bez innych objawów.",DO OBSERWACJI,DO OBSERWACJI,Objawy są łagodne i nie istnieje ryzyko poważniejszego schorzenia. W razie pogorszenia się stanu należy skonsultować się z lekarzem.
66,Uczucie suchości w gardle.,DO OBSERWACJI,DO LEKARZA,"Wymaga wizyty lekarza, może być objawem infekcji czy innego schorzenia wymagającego diagnostyki."
67,Delikatna wysypka po nowym kosmetyku.,DO OBSERWACJI,RACZEJ BŁAHE,"Wysypka jest spowodowana przez nowy produkt kosmetyczny, powinno się ustąpić po krótkim czasie."
68,Ból karku po spaniu w niewygodnej pozycji.,DO OBSERWACJI,DO OBSERWACJI,"Ból karku po spaniu w niewygodnej pozycji jest częstym objawem, który zazwyczaj ustępuje samoczynnie."
69,Okresowe bóle głowy przy zmianie pogody.,DO OBSERWACJI,DO LEKARZA,"Ból głowy może być objawem wielu chorób, dlatego pacjent powinien skonsultować się z lekarzem w celu wykluczenia poważniejszych schorzeń."
70,Krótkotrwałe uczucie osłabienia po stresie.,DO OBSERWACJI,OBSERWACJA,"Stan nie powinien stanowić zagrożenia dla zdrowia, ale warto być świadomym własnego ciała i podejść do czynników stresowych."
71,Przejściowy ból brzucha po stresującej sytuacji.,DO OBSERWACJI,DO LEKARZA,"Pacjent wymaga wizyty, ale jest stabilny i nie ma objawów poważnych problemów zdrowotnych."
72,Lekki ból stawu po wysiłku.,DO OBSERWACJI,DO OBSERWACJI,"Objawy są łagodne i nie powinny powodować zaniepokojenia, ale mogą wymagać badania ze strony lekarza w przypadku trwających lub pogarszających się objawów."
73,Niewielkie drętwienie palców po zimnie.,DO OBSERWACJI,RACZEJ BŁAHE,"Mrowienie jest dolegliwością kosmetyczną i nie powinno powodować obawy, jeśli jest krótkotrwałe."
74,Uczucie ciężkości nóg po długim staniu.,DO OBSERWACJI,DO OBSERWACJI,"Oznaki niedokrwienia nerek lub otyłość; można poczekać i obserwować, ale warto poruszyć ten temat z lekarzem."
75,Przemijające nudności bez wymiotów.,DO OBSERWACJI,DO OBSERWACJI,"Objawy są łagodne i przejściowe, nie powinny stanowić zagrożenia dla zdrowia pacjenta."
76,Lekki katar bez innych objawów.,RACZEJ BŁAHE,OBSERWACJA,Objawy są łagodne i nie powinny stanowić zagrożenia dla zdrowia.
77,Ból mięśni po siłowni.,RACZEJ BŁAHE,DO LEKARZA,"Ponieważ ból mięśni jest powszechnym objawem po wysiłku fizycznym, w większości przypadków nie powinno on być przeszkodą do dalszej aktywności. Jednak jeśli ból utrzymuje się przez dłuższy czas lub jest bardzo silny, należy skonsultować się z lekarzem."
78,Zmęczenie po nieprzespanej nocy.,RACZEJ BŁAHE,DO OBSERWACJI,"Zmęczenie jest powszechnym doświadczeniem, szczególnie po braku snu. Może być spowodowane zmianą w nawykach lub okolicznościami."
79,Jednorazowy ból głowy ustępujący po nawodnieniu.,RACZEJ BŁAHE,DO LEKARZA,"Ból głowy może być objawem niepowikłanej migreny lub innego schorzenia, które wymaga zbadania."
80,Drobne skaleczenie palca.,RACZEJ BŁAHE,RACZEJ BŁAHE,"Objawy są łagodne i nie powinny powodować obaw, można poczekać aż dolegliwości miną."
81,Niewielkie zaczerwienienie skóry po słońcu.,RACZEJ BŁAHE,RACZEJ BŁAHE,Zaczerwienienie jest spowodowane przez narażenie na słońce i nie powinno powodować żadnych poważnych problemów zdrowotnych.
82,Krótkotrwały ból brzucha przed posiłkiem.,RACZEJ BŁAHE,DO LEKARZA,"Ból brzucha może być oznaką poważniejszych problemów, dlatego konieczna jest wizyta u lekarza, aby wykluczyć nieprawidłowości."
83,Chwilowe uczucie zimna bez gorączki.,RACZEJ BŁAHE,OBSERWACJA,Objawy są łagodne i nie powinny wywołać obaw o stan zdrowia.
84,Swędzenie skóry po ukąszeniu komara.,RACZEJ BŁAHE,RACZEJ_BŁAHE,Objawy są spowodowane przez ukąszenie owada i prawdopodobnie miną się same.
85,Ból głowy po długim czasie przed ekranem.,RACZEJ BŁAHE,DO LEKARZA,"Ból głowy może być symptomem przyczynę którego trzeba sprawdzić lekarz, może to być zmiana w pracy lub inne czynniki wywołujące zmiany w życiu codziennym."
86,Kichanie rano po przebudzeniu.,RACZEJ BŁAHE,DO OBSERWACJI,"Objawy są związane ze zmianą temperatury w ciągu nocy, nie powinny powodować obawy."
87,Uczucie pełności po obfitym posiłku.,RACZEJ BŁAHE,DO OBSERWACJI,"Zdarzenie towarzyszące normalnej fizjologii, nie wymaga interwencji medycznej."
88,Delikatny ból gardła po rozmowie na zimnie.,RACZEJ BŁAHE,DO OBSERWACJI,"Ból gardła jest przewlekły i można poczekać, aż ustanie."
89,Przemijające zawroty głowy po szybkim wstaniu.,RACZEJ BŁAHE,DO OBSERWACJI,"Zawroty głowy po wstaniu są dość powszechne, szczególnie u osób starszych lub przy braku równowagi w ciele."
90,Niewielki ból stawu po zmianie pogody.,RACZEJ BŁAHE,DO OBSERWACJI,"Objawy są łagodne i nie powinny być przeszkodą w normalnym funkcjonowaniu, o ile inne objawy nie pojawiają się."
91,Lekki ból brzucha po stresie.,RACZEJ BŁAHE,DO OBSERWACJI,"Objawy są łagodne i prawdopodobnie związane ze stresem, ale warto monitorować stan pacjenta."
92,Zmęczenie po długim dniu.,RACZEJ BŁAHE,OBSERWACJA,"Objawy nie są powodem do niepokoju, mogą ustąpić samoistnie."
93,Chwilowy dyskomfort w klatce piersiowej przy zdenerwowaniu.,RACZEJ BŁAHE,DO OBSERWACJI,"Oczekuje się, że objaw ustąpi samoczynnie i nie wymaga interwencji medycznej."
94,Ból karku po pracy przy komputerze.,RACZEJ BŁAHE,DO LEKARZA,"Powyższy opis sugeruje możliwość skurczowego zapalenia mięśni (zespół napięcia mięśniowego) spowodowanego długotrwałym siedzeniem przy komputerze, ale wymaga wizyty u lekarza do przeprowadzenia bardziej szczegółowej diagnostyki."
95,Jednorazowe uczucie nudności bez innych objawów.,RACZEJ BŁAHE,DO OBSERWACJI,"Nudności są częstym i zwykle lekkim odczuciem, które mogą minąć samodzielnie."
96,Lekki świąd skóry bez zmian widocznych.,RACZEJ BŁAHE,RACZEJ_BŁAHE,"Zapalenie skóry nie powoduje żadnych widocznych zmian, dlatego nie jest to sytuacja pilna."
97,Uczucie zimnych dłoni w chłodnym otoczeniu.,RACZEJ BŁAHE,DO OBSERWACJI,"Zdrowa osoba może doświadczać zjawiska Rayleigha, czyli zimna rąk w niskiej temperaturze."
98,Chwilowe mrowienie ręki po ucisku.,RACZEJ BŁAHE,RACZEJ_BŁAHE,"Dolegliwość kosmetyczna, przejściowa i nie powodująca bólu."
99,Niewielkie napięcie mięśni szyi.,RACZEJ BŁAHE,DO OBSERWACJI,"Objawy są łagodne i mogą wynikać z różnych przyczyn, np. nadmiernego stresu lub nieprawidłowej siedzenia."
100,Krótkotrwały ból ucha po zmianie ciśnienia.,RACZEJ BŁAHE,DO OBSERWACJI,"Ból ucha jest powszechnym objawem, który często występuje po zmianie ciśnienia i ustępuje samoczynnie. Nie powinno ono spowodować niepokoju."
