id,description,label
80,"Drobne skaleczenie palca.",RACZEJ BŁAHE
81,"Niewielkie zaczerwienienie skóry po słońcu.",RACZEJ BŁAHE
82,"Krótkotrwały ból brzucha przed posiłkiem.",RACZEJ BŁAHE
83,"Chwilowe uczucie zimna bez gorączki.",RACZEJ BŁAHE
84,"Swędzenie skóry po ukąszeniu komara.",RACZEJ BŁAHE
85,"Ból głowy po długim czasie przed ekranem.",RACZEJ BŁAHE
86,"Kichanie rano po przebudzeniu.",RACZEJ BŁAHE
87,"Uczucie pełności po obfitym posiłku.",RACZEJ BŁAHE
88,"Delikatny ból gardła po rozmowie na zimnie.",RACZEJ BŁAHE
89,"Przemijające zawroty głowy po szybkim wstaniu.",RACZEJ BŁAHE
90,"Niewielki ból stawu po zmianie pogody.",RACZEJ BŁAHE
91,"Lekki ból brzucha po stresie.",RACZEJ BŁAHE
92,"Zmęczenie po długim dniu.",RACZEJ BŁAHE
93,"Chwilowy dyskomfort w klatce piersiowej przy zdenerwowaniu.",RACZEJ BŁAHE
94,"Ból karku po pracy przy komputerze.",RACZEJ BŁAHE
95,"Jednorazowe uczucie nudności bez innych objawów.",RACZEJ BŁAHE
96,"Lekki świąd skóry bez zmian widocznych.",RACZEJ BŁAHE
97,"Uczucie zimnych dłoni w chłodnym otoczeniu.",RACZEJ BŁAHE
98,"Chwilowe mrowienie ręki po ucisku.",RACZEJ BŁAHE
99,"Niewielkie napięcie mięśni szyi.",RACZEJ BŁAHE
100,"Krótkotrwały ból ucha po zmianie ciśnienia.",RACZEJ BŁAHE
