id,opis,oczekiwane,kategoria_modelu,wyjasnienie_pierwotne,analiza_logiki,ocena_jakosci,auto_krytyka,cytaty_z_odpowiedzi
11,"Silny ból w klatce piersiowej nasilający się przy oddychaniu, kaszel z krwią.",PILNE,PILNE,Silny ból w klatce piersiowej i kaszel z krwią mogą wskazywać na poważne problemy kardiologiczne lub płucne wymagające natychmiastowej pomocy medycznej.,"Odpowiedź oparta jest na założeniu, że objawy takie jak silny ból w klatce piersiowej nasilający się przy oddychaniu oraz kaszel z krwią mogą wskazywać na poważne problemy kardiologiczne lub płucne.  Logika sprowadza się do identyfikacji potencjalnie groźnych symptomów i zalecenia natychmiastowej pomocy medycznej.",80,"Pominięto możliwość innych przyczyn bólu w klatce piersiowej niż problemy kardiologiczne lub płucne (np. choroby mięśni, zapalenie pęcherza moczowego). Brak jest również informacji o stanie ogólnym pacjenta, co mogłoby pomóc w bardziej precyzyjnej ocenie sytuacji.","['Silny ból w klatce piersiowej', 'kaszel z krwią']"
12,"Ostry ból brzucha po prawej stronie, gorączka, nudności, brak apetytu.",PILNE,DO LEKARZA,"Objawy takie jak ostry ból brzucha, gorączka i nudności mogą wskazywać na infekcję lub inne schorzenia wymagające wizyty u lekarza.","Odpowiedź zauważa powiązanie objawów pacjenta (ostry ból brzucha, gorączka, nudności) z potencjalnymi infekcjami lub innymi schorzeniami.  Logika polega na tym, że te symptomy mogą wskazywać na potrzebę medycznej diagnozy i leczenia.",70,"Odpowiedź jest zbyt ogólna. Nie uwzględnia specyfiki bólu po prawej stronie brzucha, co mogłoby sugerować problemy z wątrobą, pęcherzykiem żółciowym lub innymi narządami w tej okolicy.","['ostry ból brzucha', 'gorączka', 'nudności']"
13,"Nagłe kołatanie serca, zawroty głowy, uczucie omdlewania.",PILNE,PILNE,Objawy sugerują potencjalny problem kardiologiczny wymagający natychmiastowej oceny medycznej w SOR.,"Odpowiedź stwierdza, że objawy sugerują potencjalny problem kardiologiczny i zaleca natychmiastową ocenę medyczną w SOR. Tok rozumowania opiera się na wiązaniu objawów pacjenta - kołatanie serca, zawroty głowy i uczucie omdlewania - z potencjalnym problemem kardiologicznym.",90,"Możliwe pominięcie innych przyczyn objawów, np. hipoglikemia lub zaburzenia układu nerwowego. Brak informacji o historii medycznej pacjenta.","['Nagłe kołatanie serca', 'zawroty głowy', 'uczucie omdlewania']"
14,"Uraz komunikacyjny, ból kręgosłupa, drętwienie kończyn dolnych.",PILNE,DO LEKARZA,"Uraz komunikacyjny i drętwienie mogą wskazywać na problem nerwowy lub ucisk na nerwy w kręgosłupie, wymagające wizyty lekarskiej.","Odpowiedź zakłada, że uraz komunikacyjny (może sugerować obrażeń głowy lub szyi) oraz drętwienie kończyn dolnych mogą wskazywać na problem nerwowy. Z kolei ból kręgosłupa może być efektem urazu lub zapalenia w okolicach pleców.",75,Możliwe pomylenie uraz komunikacyjny z innym rodzajem urazu np. uraz nerwowy. Brak weryfikacji przyczyny drętwienia kończyn dolnych.,"['Urazy komunikacyjne', 'drętwienie mogą wskazywać na problem nerwowy']"
15,"Wysoka gorączka u dziecka, sztywność karku, nadwrażliwość na światło.",PILNE,PILNE,"Objawy takie jak wysoka gorączka, sztywność karku i nadwrażliwość na światło mogą wskazywać na meningit, stan wymagający natychmiastowej pomocy medycznej.","Odpowiedź oparła się na rozumowaniu, że podane objawy (wysoka gorączka, sztywność karku, nadwrażliwość na światło) mogą być charakterystyczne dla meningitu. W związku z tym zalecono natychmiastową pomoc medyczną.",80,"Pomimo że podane objawy są częściowo zgodne z objawami meningitu, istnieje ryzyko pomylenia z innymi chorobami, takimi jak grypa, zapalenie opon mózgowych czy zatrucie. Brakuje szczegółów u pacjenta, aby jednoznacznie postawić diagnozę.","['Wysoka gorączka', 'sztywność karku', 'nadwrażliwość na światło']"
16,"Nagła utrata przytomności u osoby starszej, brak kontaktu przez kilka minut.",PILNE,PILNE,"Nagła utrata przytomności i brak kontaktu wskazują na poważne zagrożenie życia, możliwe udar lub inne medyczne problemy wymagające natychmiastowej interwencji.","Odpowiedź oparta jest na założeniu, że nagła utrata przytomności i brak kontaktu u osoby starszej są poważnymi objawami wskazującymi na zagrożenie życia.",80,"Możliwe pominięcie innych przyczyn nagłej utraty przytomności, takich jak napad padaczkowy lub hipoglikemia. Brak informacji o towarzyszących objawach uniemożliwia precyzyjniejsze określenie potencjalnych diagnoz.","['Nagła utrata przytomności', 'brak kontaktu przez kilka minut']"
17,"Silna reakcja alergiczna po leku, pokrzywka, duszność, spadek ciśnienia.",PILNE,PILNE,"Silna reakcja alergiczna z pokrzywką, dusznością i spadkiem ciśnienia wskazuje na anafilaksję, stan wymagający natychmiastowej pomocy medycznej.","Odpowiedź zakłada, że wszystkie wymienione objawy pacjenta (silna reakcja alergiczna, pokrzywka, duszność i spadek ciśnienia) wskazują na anafilaksję. Została podana krótka informacja o potrzebie natychmiastowej pomocy medycznej.",90,"Możliwe pominięcie innych potencjalnych diagnoz, które mogą powodować podobne objawy. Brak szczegółów na temat stopnia nasilenia poszczególnych symptomów.","['Silna reakcja alergiczna po leku', 'pokrzywka', 'duszność', 'spadek ciśnienia']"
18,"Ostry ból jądra, nagły początek, nudności.",PILNE,PILNE,"Ostry ból jądra, zwłaszcza nagły, może wskazywać na zwichnięcie lub inne poważne urazy, wymagające natychmiastowej pomocy medycznej.","Odpowiedź zakłada, że ostry ból jądra i nagły jego początek wskazują na poważne urazy, takie jak zwichnięcie.  Nie uwzględnia innych potencjalnych przyczyn bólu.",70,"Możliwe pomylenie z innymi schorzeniami powodującymi ból jądra, np. zapalenie jąder, torbiel, czy kamica w kanalikach moczowych.","['Ostry ból jądra', 'nagiły początek']"
19,Pacjent zgłasza silny ból w klatce piersiowej połączony z dusznością i kaszlem.,PILNE,PILNE,"Silny ból w klatce piersiowej, duszność i kaszel mogą wskazywać na poważne problemy kardiologiczne lub chorobę płucną wymagające natychmiastowej pomocy medycznej.","Odpowiedź oparta jest na założeniu, że objawy pacjenta (silny ból w klatce piersiowej, duszność i kaszel) są powszechnymi dolegliwościami przy poważnych problemach kardiologicznych lub chorobach płucnych. Logiczną konsekwencją tego założenia jest zalecenie natychmiastowej pomocy medycznej.",70,"Odpowiedź jest w dużym stopniu adekwatna, ale zbyt ogólna. Mogłoby to prowadzić do nadmiernej paniki u pacjenta, ignorując możliwe inne przyczyny objawów (np. zapalenie oskrzeli). Zalecenie konkretnego działania (np., natychmiastowy wyjazd po karetkę) jest zbyt dosadne bez dalszego badania.","['silny ból w klatce piersiowej', 'duszność i kaszel']"
20,Nagłe pogorszenie stanu chorego onkologicznego z dusznością i bólem.,PILNE,PILNE,"Nagłe pogorszenie stanu pacjenta onkologicznego z dusznością i bólem wymaga natychmiastowej pomocy medycznej, możliwe komplikacje wymagające SOR.","Odpowiedź zakłada, że nagłe pogorszenie stanu pacjenta onkologicznego z dusznością i bólem jest sygnałem potencjalnie poważnych komplikacji wymagających natychmiastowej pomocy medycznej.",90,"Możliwe pominięcie szczegółów dotyczących historii choroby pacjenta oraz innych towarzyszących objawów, które mogłyby skorygować ocenę ryzyka.","['nagłe pogorszenie stanu', 'dusznością i bólem']"
21,Drgawki u osoby dorosłej bez wcześniejszej padaczki.,PILNE,PILNE,"Drgawki u dorosłego bez historii padaczki mogą wskazywać na poważne zagrożenie dla życia, wymagające natychmiastowej pomocy medycznej.","Odpowiedź zakłada, że drgawki u dorosłego bez historii padaczki są zawsze poważnym zagrożeniem dla życia, wymagającym natychmiastowej pomocy medycznej.  Logika ta opiera się na założeniu, że brak wcześniejszej historii padaczki oznacza, że drgawki muszą być spowodowane czymś nowym i potencjalnie groźnym.",70,Możliwe pomylenie z rzadkimi przypadkami padaczki niewykrytej u dorosłych lub innymi schorzeniami neurologicznymi. Brak informacji o innych objawach pacjenta może wpłynąć na ocenę.,['Drgawki u osoby dorosłej bez wcześniejszej padaczki.']
22,Nagły silny ból pleców z osłabieniem nóg i zaburzeniem czucia.,PILNE,PILNE,"Objawy sugerują potencjalne uszkodzenie rdzenia kręgowego, co wymaga natychmiastowej oceny medycznej.","Odpowiedź opiera się na tym, że objawy pacjenta (nagły silny ból pleców, osłabienie nóg i zaburzenie czucia) są charakterystyczne dla potencjalnego uszkodzenia rdzenia kręgowego. ",90,"Możliwe pomylenie z innymi schorzeniami powodującymi podobne objawy, np.  zapaleniem korzeni nerwowych lub chorobą zwyrodnieniową kręgosłupa.","['nagły silny ból pleców', 'osłabienie nóg', 'zaburzenie czucia']"
23,"Ostra duszność nocna, pienista wydzielina z ust.",PILNE,PILNE,"Objawy takie jak ostra duszność i pienista wydzielina wskazują na potencjalny stan zagrożenia życia, wymagający natychmiastowej pomocy medycznej.","Odpowiedź zakłada, że ostra duszność i pianna wydzielina to poważne objawy, które mogą wskazywać na stan zagrożenia życia.",80,"Możliwe, że pacjent odczuwa duszność z powodu innych mniej poważnych przyczyn (np. astmy czy alergii), które wymagają diagnozy i leczenia.","['Ostra duszność', 'pienista wydzielina']"
24,Zatrzymanie oddawania moczu z silnym bólem podbrzusza.,PILNE,PILNE,"Zatrzymanie oddawania moczu z silnym bólem podbrzusza może wskazywać na poważne zapalenie pęcherza lub kamicę nerkową, wymagające natychmiastowej opieki medycznej.","Odpowiedź zakłada, że objawy pacjenta (zatrzymanie oddawania moczu i ból w podbrzuszu) wskazują na poważne schorzenia takie jak zapalenie pęcherza lub kamica nerkowa. Logika opiera się na korelacji objawów z potencjalnymi diagnozami.",70,"Pomijane są inne możliwe przyczyny bólu w podbrzuszu i zatrzymania moczu, takie jak infekcje dróg moczowych, kamica pęcherzykowa, zapalenie otrzewnej czy nawet stres. Brak szczegółów o obrazie klinicznym pacjenta.",['Zatrzymanie oddawania moczu z silnym bólem podbrzusza.']
25,Ciężkie odwodnienie z zaburzeniami świadomości.,PILNE,PILNE,"Ciężkie odwodnienie może szybko zagrozić życiu, a zaburzenia świadomości wskazują na poważny problem. Wymaga natychmiastowej pomocy medycznej.","Odpowiedź zauważa, że ciężkie odwodnienie może być zagrożeniem dla życia i że zaburzenia świadomości wskazują na poważny problem. Logika polega na tym, że oba te objawy razem sugerują potrzebę natychmiastowej pomocy medycznej.",90,"Możliwe pominięcie innych potencjalnych przyczyn zaburzeń świadomości. Nie uwzględniono również szczegółów dotyczących stanu pacjenta, które mogłyby skorygować ocenę zagrożenia.","['Ciężkie odwodnienie może szybko zagrozić życiu', 'zaburzenia świadomości wskazują na poważny problem']"
26,"Gorączka około 38 stopni utrzymująca się od 3 dni, kaszel, osłabienie.",DO LEKARZA,DO LEKARZA,"Gorączka trwająca dłużej niż dwa dni i towarzyszące jej objawy jak kaszel i osłabienie wskazują na infekcje, wymagające konsultacji lekarskiej.","Odpowiedź opiera się na założeniu, że objawy takie jak gorączka trwająca dłużej niż dwa dni, kaszel i osłabienie są charakterystyczne dla infekcji.",80,Możliwe pomylenie z innymi schorzeniami o podobnych objawach. Brak informacji na temat innych symptomów lub historii medycznej pacjenta.,"['Gorączka trwająca dłużej niż dwa dni', 'kaszel i osłabienie wskazują na infekcje']"
27,"Ból brzucha trwający kilka dni, okresowe nudności, brak poprawy.",DO LEKARZA,DO LEKARZA,Ból brzucha utrzymujący się przez kilka dni i nudności sugerują możliwość poważniejszego problemu wymagającego diagnostyki lekarskiej.,"Odpowiedź zakłada, że ból brzucha utrzymujący się przez kilka dni i towarzyszące mu nudności wskazują na poważny problem medyczny, który wymaga diagnostyki lekarskiej. Logika opiera się na założeniu, że te objawy nie są zwykłymi dolegliwościami, ale mogą świadczyć o chorobie.",80,"Możliwe pominięcie informacji o charakterze bólu, jego lokalizacji i innych towarzyszących objawach. Nie uwzględniono również wieku pacjenta, ewentualnych alergii lub leków przyjmowanych przez pacjenta.",['Ból brzucha utrzymujący się przez kilka dni i nudności sugerują możliwość poważniejszego problemu wymagającego diagnostyki lekarskiej.']
28,"Ból ucha, pogorszenie słuchu, stan podgorączkowy.",DO LEKARZA,DO LEKARZA,Ból ucha i pogorszenie słuchu wskazują na potencjalne zapalenie ucha środkowego. Stan podgorączkowy wymaga konsultacji lekarskiej.,"Odpowiedź opiera się na tym, że ból ucha i pogorszenie słuchu to częste objawy zapalenia ucha środkowego. Stan podgorączkowy również sugeruje infekcję, co potwierdza podejrzenie o zapalenie ucha.",75,Możliwe pomylenie z innymi chorobami usznymi lub infekcjami wirusowymi powodującymi podobne objawy. Brak informacji o konkretnym wieku pacjenta może wpłynąć na trafność diagnozy.,['Ból ucha i pogorszenie słuchu wskazują na potencjalne zapalenie ucha środkowego.']
29,"Nawracające bóle głowy, nasilające się przy stresie.",DO LEKARZA,DO LEKARZA,"Nawracające bóle głowy mogą wskazywać na różne schorzenia, a ich nasilanie pod wpływem stresu wymaga konsultacji lekarskiej.","Odpowiedź oparta jest na założeniu, że nawracające bóle głowy mogą mieć różne przyczyny i potrzebne są dalsze badania diagnostyczne.",80,"Pominięto wskazanie konkretnych potencjalnych przyczyn bólów głowy (np. migrena, napięciowe bóle głowy) oraz rodzaj konsultacji lekarskiej, który byłby odpowiedni.","['Nawracające bóle głowy', 'nasilające się przy stresie']"
30,"Kaszel z odkrztuszaniem wydzieliny, gorączka, ból w klatce piersiowej przy kaszlu.",DO LEKARZA,DO LEKARZA,"Objawy wskazują na potencjalne zapalenie płuc lub infekcję dróg oddechowych, które wymagają diagnostyki lekarskiej.","Asystent medyczny zidentyfikował objawy pacjenta: kaszel z odkrztuszaniem wydzieliny, gorączkę i ból w klatce piersiowej przy kaszlu. Zauważył, że te objawy mogą być charakterystyczne dla zapalenia płuc lub infekcji dróg oddechowych.",80,"Możliwe pominięcie innych potencjalnych przyczyn objawów, takich jak alergia, astma czy zapalenie oskrzeli. Zalecenie skierowania do lekarza jest poprawne, ale mogłoby być bardziej precyzyjne, np. sugerując specjalistę z dziedziny pneumologii.","['Kaszel z odkrztuszaniem wydzieliny', 'gorączka', 'ból w klatce piersiowej przy kaszlu']"
31,"Ból w dolnej części pleców promieniujący do nogi, utrzymujący się od tygodnia.",DO LEKARZA,DO LEKARZA,Ból w plecach trwający tydzień i promieniowanie do nogi mogą wskazywać na poważniejsze schorzenie niż zwykłe skurcze mięśniowe.,"Odpowiedź zakłada, że ból w dolnej części pleców trwający tydzień i promieniowanie do nogi są sygnałem potencjalnie poważniejszego schorzenia niż zwykły skurcz mięśniowy. Logika opiera się na założeniu, że długotrwały ból i jego rozprzestrzenienie na inne części ciała sugerują coś bardziej złożonego.",70,"Możliwe pomylenie z prostym skurczem mięśniowym, który może trwać dłużej niż jeden tydzień. Brak informacji o intensywności bólu i innych towarzyszących objawach.","['Ból w plecach trwający tydzień', 'promieniowanie do nogi']"
32,"Częste oddawanie moczu, pieczenie, stan podgorączkowy.",DO LEKARZA,DO LEKARZA,"Objawy wskazują na możliwe zakażenie układu moczowego, które wymaga wizyty lekarskiej dla postawienia diagnozy i rozpoczęcia leczenia.","Odpowiedź zakłada, że częstość oddawania moczu, pieczenie oraz stan podgorączkowy to typowe objawy zakażenia układu moczowego.",75,"Możliwe pomylenie z innymi schorzeniami o podobnych objawach, np. kamicą nerkową lub infekcją pęcherza moczowego.","['Częste oddawanie moczu', 'pieczenie', 'stan podgorączkowy']"
33,"Nasilający się ból kolana, obrzęk, ograniczenie ruchu.",DO LEKARZA,DO LEKARZA,"Nasilający się ból, obrzęk i ograniczenie ruchomości wskazują na potencjalne zapalenie stawów lub uraz, wymagające diagnozy medycznej.","Odpowiedź zauważa kluczowe objawy pacjenta: nasilający się ból, obrzęk i ograniczenie ruchomości kolana.  Na podstawie tych symptomów wnioskuje o potencjalnym problemie z układem ruchu, który może być związane z zapaleniem stawów lub urazem.",80,"Pominięto inne możliwe przyczyny objawów, takie jak np.  nowotwór, infekcja lub zaburzenia układu nerwowego. Diagnoza powinna być postawiona na podstawie dokładnej analizy medycznej.","['Nasilający się ból', 'obrzęk i ograniczenie ruchomości']"
34,"Ból gardła, powiększone migdałki, gorączka.",DO LEKARZA,DO LEKARZA,"Objawy wskazują na prawdopodobną infekcję górnych dróg oddechowych, która wymaga wizyty u lekarza w celu postawienia diagnozy i ewentualnego przepisania leczenia.","Odpowiedź wyciągnęła wnioski o potencjalnej infekcji górnych dróg oddechowych na podstawie opisu objawów pacjenta: ból gardła, powiększone migdałki i gorączka. Uznano to za wystarczający powód do rekomendacji wizyty u lekarza w celu potwierdzenia diagnozy i ewentualnego przepisania leczenia.",80,"Możliwe pominięcie innych potencjalnych przyczyn objawów, np. alergii lub zatrucia pokarmowego. Brak szczegółowych pytań dotyczących historii choroby pacjenta i jego stylu życia.",['Objawy wskazują na prawdopodobną infekcję górnych dróg oddechowych']
35,"Nawracające bóle brzucha po posiłkach, wzdęcia.",DO LEKARZA,DO LEKARZA,"Nawracające bóle brzucha mogą być spowodowane różnymi problemami, a wzdęcia wskazują na możliwą dysfunkcje trawienną. Wizyta u lekarza pomoże ustalić przyczynę i zalecić odpowiednie leczenie.","Odpowiedź zauważa powtarzające się bóle brzucha po jedzeniu oraz wzdęcia jako potencjalne oznaki dysfunkcji trawiennej. Wnioskuje, że wizyta u lekarza jest niezbędna do ustalenia przyczyny i zastosowania odpowiedniego leczenia.",80,"Pominięto możliwość wskazania częściowych rozwiązań lub zmian stylu życia, które mogą złagodzić objawy. Brak jest również wzmianki o ewentualnych czynnikach środowiskowych.","['Nawracające bóle brzucha', 'wzdęcia wskazują na możliwą dysfunkcje trawienną']"
36,"Wysypka skórna utrzymująca się kilka dni, świąd.",DO LEKARZA,DO LEKARZA,"Utrzymująca się wysypka i świąd mogą wskazywać na alergię lub infekcję, które wymagają diagnozy i leczenia.","Odpowiedź opiera się na założeniu, że wysypka skórna i świąd mogą być objawami alergii lub infekcji. Wynika to z rozumienia, że te schorzenia często powodują takie symptomy.",80,"Możliwe pominięcie innych potencjalnych przyczyn wysypki i świądu, np. reakcji na lek, chorobę skóry o niezapalnym charakterze lub stanów neurologicznych.","['wysypka skórna utrzymująca się kilka dni', 'świąd']"
37,"Ból w klatce piersiowej o charakterze kłującym, nasilający się przy ruchu.",DO LEKARZA,PILNE,Ból w klatce piersiowej może być oznaką choroby serca i wymaga natychmiastowej oceny medycznej.,"Odpowiedź zakłada bezpośredni związek bólu w klatce piersiowej z chorobą serca, ignorując inne możliwe przyczyny bólu.",30,"Możliwe pomylenie bólu w klatce piersiowej z objawami zawału serca.  Brak uwzględnienia innych potencjalnych przyczyn bólu w klatce piersiowej, takich jak zapalenie pęcherza płucnego, problemy kostne czy nerwowe.",['Ból w klatce piersiowej może być oznaką choroby serca']
38,"Zawroty głowy przy zmianie pozycji, bez utraty przytomności.",DO LEKARZA,DO LEKARZA,"Zawroty głowy przy zmianie pozycji mogą wskazywać na problem z krążeniem lub równowagą, wymagające diagnozy i ewentualnego leczenia.","Odpowiedź stwierdza, że zawroty głowy przy zmianie pozycji mogą wskazywać na problem z krążeniem lub równowagą. Wynika to z rozumowania, że takie objawy są typowe dla zaburzeń w tych obszarach.",70,"Możliwe pomylenie z innymi schorzeniami powodującymi zawroty głowy, np. migreną lub problemami neurologicznymi. Brak weryfikacji innych potencjalnych przyczyn.","['Zawroty głowy przy zmianie pozycji', 'problem z krążeniem lub równowagą']"
39,"Ból zęba nasilający się w nocy, obrzęk dziąsła.",DO LEKARZA,DO LEKARZA,Zaostrzające się bóle zębów i obrzęk dziąseł wskazują na potencjalne zapalenie zęba lub innego stanu wymagającego wizyty stomatologicznej.,"Odpowiedź zakłada, że ból zęba nasilający się w nocy i obrzęk dziąseł są symptomami zapalenia zęba lub innego stanu wymagającego wizyty u stomatologa. Logika opiera się na związku pomiędzy tymi objawami a powszechnymi problemami stomatologicznymi.",80,Możliwe pomylenie z innymi stanami zapalnymi w jamie ustnej lub ogólnie w organizmie. Brak szczegółów dotyczących historii choroby pacjenta.,"['Zaostrzające się bóle zębów', 'Obrze\xa0dziąseł']"
40,"Przewlekły kaszel u palacza, stopniowe pogorszenie tolerancji wysiłku.",DO LEKARZA,DO LEKARZA,"Stopniowe pogorszenie tolerancji wysiłku u palacza sugeruje potencjalne problemy z układami oddechowym lub krążeniowym, wymagające wizyty lekarskiej.","Odpowiedź stwierdza, że stopniowe pogorszenie tolerancji wysiłku może wskazywać na problemy z układem oddechowym lub krążeniowym u pacjenta palacza. Wynika to z założenia, że oba te systemy są narażone na negatywny wpływ palenia tytoniu i mogą powodować takie objawy.",70,"Możliwe pominięcie innych potencjalnych przyczyn stopniowego pogorszenia tolerancji wysiłku, takich jak problemy z układem mięśniowym lub hormonalne. Brak jest wzmianki o konieczności przeprowadzenia pełnej diagnozy lekarskiej.","['Stopniowe pogorszenie tolerancji wysiłku u palacza sugeruje potencjalne problemy z układami oddechowym lub krążeniowym', 'wymagające wizyty lekarskiej.']"
